model,data,preprocessing,text_embedding,lan_chay,accuracy_score,f1_score
cnn,uit-vihsd,0,tf-idf,5,0.8237,0.5661
cnn,uit-vsmec,0,tf-idf,1,0.5053,0.4869
cnn,uit-vsmec,0,tf-idf,2,0.4923,0.4803
cnn,uit-vsmec,0,tf-idf,3,0.4808,0.4895
cnn,uit-vsmec,0,tf-idf,4,0.4697,0.5079
cnn,uit-vsmec,0,tf-idf,5,0.4687,0.4909
cnn,uit-vihsd,1,co_param,1,0.8572,0.6315
cnn,uit-vihsd,1,co_param,2,0.8625,0.6425
cnn,uit-vihsd,1,co_param,3,0.8603,0.6546
cnn,uit-vihsd,1,co_param,4,0.865,0.6495
cnn,uit-vihsd,1,co_param,5,0.8596,0.6515
cnn,uit-vsmec,1,co_param,1,0.6103,0.6089
cnn,uit-vsmec,1,co_param,2,0.6245,0.6118
cnn,uit-vsmec,1,co_param,3,0.6189,0.6138
cnn,uit-vsmec,1,co_param,4,0.6048,0.6204
cnn,uit-vsmec,1,co_param,5,0.6111,0.623
cnn,uit-vsfc,1,co_param,1,0.916,0.7946
cnn,uit-vsfc,1,co_param,2,0.9074,0.7854
cnn,uit-vsfc,1,co_param,3,0.9055,0.7819
cnn,uit-vsfc,1,co_param,4,0.9032,0.7901
cnn,uit-vsfc,1,co_param,5,0.9045,0.7871
cnn,uit-vihsd,0,co_param,1,0.8676,0.6725
cnn,uit-vihsd,0,co_param,2,0.8752,0.68
cnn,uit-vihsd,0,co_param,3,0.874,0.6745
cnn,uit-vihsd,0,co_param,4,0.8722,0.6667
cnn,uit-vihsd,0,co_param,5,0.8691,0.6781
cnn,uit-vsmec,0,co_param,1,0.6103,0.6166
cnn,uit-vsmec,0,co_param,2,0.6203,0.6193
cnn,uit-vsmec,0,co_param,3,0.6178,0.6088
cnn,uit-vsmec,0,co_param,4,0.6087,0.6112
cnn,uit-vsmec,0,co_param,5,0.6133,0.6248
cnn,uit-vihsd,1,ko_param,1,0.8105,0.3024
cnn,uit-vihsd,1,ko_param,2,0.8007,0.3521
cnn,uit-vihsd,1,ko_param,3,0.8051,0.3412
cnn,uit-vihsd,1,ko_param,4,0.8202,0.3452
cnn,uit-vihsd,1,ko_param,5,0.8257,0.3024
cnn,uit-vsmec,1,ko_param,1,0.5341,0.5177
cnn,uit-vsmec,1,ko_param,2,0.5009,0.5002
cnn,uit-vsmec,1,ko_param,3,0.5114,0.4998
cnn,uit-vsmec,1,ko_param,4,0.4946,0.5014
cnn,uit-vsmec,1,ko_param,5,0.499,0.5023
cnn,uit-vsfc,1,ko_param,1,0.8918,0.7791
cnn,uit-vsfc,1,ko_param,2,0.891,0.7805
cnn,uit-vsfc,1,ko_param,3,0.8955,0.7781
cnn,uit-vsfc,1,ko_param,4,0.8949,0.782
cnn,uit-vsfc,1,ko_param,5,0.8928,0.7775
cnn,uit-vihsd,0,ko_param,1,0.8344,0.6097
cnn,uit-vihsd,0,ko_param,2,0.8142,0.5927
cnn,uit-vihsd,0,ko_param,3,0.8251,0.5763
cnn,uit-vihsd,0,ko_param,4,0.8052,0.5924
cnn,uit-vihsd,0,ko_param,5,0.8017,0.5818
cnn,uit-vsmec,0,ko_param,1,0.4547,0.438
cnn,uit-vsmec,0,ko_param,2,0.4686,0.4418
cnn,uit-vsmec,0,ko_param,3,0.4605,0.4398
cnn,uit-vsmec,0,ko_param,4,0.4598,0.4104
cnn,uit-vsmec,0,ko_param,5,0.4559,0.4532
